,comments,TextBlob_polarity,TextBlob_subjectivity,TextBlob_label,BERT_label,BERT_score
0,mark zuckerberg meta facebook instagram and the metaverse  lex fridman podcast 267,0,0,neutral,neutral,0.617330074
1,winning the personal device of the future,0.166666667,0.391666667,neutral,positive,0.869627416
2,facebooks collapse  the metaverse crusade,0,0,neutral,negative,0.778829575
3,this year everything is changing  facebook stock dropped by 26 in a single day wiping out 230b in its valuation after its 4q earnings announcement the company goes through a new crisis every month  employees are stepping out as whistleblowers political pressures are growing but most damning of all  consumers are now spending significantly less time on facebook   ,0.07965368,0.267099567,neutral,negative,0.935084581
4,mark zuckerberg meta facebook instagram and the metaverse  lex fridman podcast 267,0,0,neutral,neutral,0.617330074
5,why global supply chains may never be the same  a wsj documentary,0,0.041666667,neutral,neutral,0.521821201
6,wall street journal,0,0,neutral,neutral,0.575900912
7,elon musk how i became the real iron man,0.2,0.3,positive,positive,0.741012216
8,bloomberg quicktake originals,0,0,neutral,neutral,0.600741625
9,what is right to repair,0.285714286,0.535714286,positive,neutral,0.57958895
10,is thailand the new weed capital of the world  foreign correspondent,0.005681818,0.289772727,neutral,positive,0.821057379
11,abc news indepth,0,0,neutral,neutral,0.684743166
12,i played facebooks vr metaverse so you never have to,0,0,neutral,neutral,0.586679041
13,mark zuckerberg on the quest pro metaverse elons twitter takeover and more,0.5,0.5,positive,positive,0.755276144
14,in the age of ai full documentary  frontline,0.175,0.275,neutral,positive,0.861242056
15,frontline pbs  official,0,0,neutral,neutral,0.602192581
16,the most important algorithm of all time,0.45,0.75,positive,positive,0.771941245
17,microsoft just killed zucks metaverse,-0.2,0,negative,neutral,0.694995403
18,enron  the biggest fraud in history,0,0,neutral,negative,0.717635334
19,how to lie your way to 34 billion [nikola motors fraud],0,0,neutral,negative,0.79703933
20,chinas electricity problem,0,0,neutral,negative,0.825555027
21,google facebook amazon  the rise of the megacorporations  dw documentary,0,0,neutral,neutral,0.677932441
22,harvard ilab  startup secrets turning products into companies,0,0,neutral,neutral,0.605714142
23,harvard innovation labs,0,0,neutral,neutral,0.640676141
